230929-COI-COL-071-S2_S105_L001_R1_001	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	22.0	112.0	488.0	1071.0	1194.0	1081.0	957.0	968.0	1045.0	1193.0	1368.0	1564.0	1943.0	2333.0	2935.0	3438.0	4320.0	5756.0	8310.0	15780.0	30312.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-071-S2_S105_L001_R2_001	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	56.0	250.0	665.0	931.0	1094.0	1047.0	1133.0	1316.0	1421.0	1726.0	1932.0	2366.0	2608.0	3024.0	3617.0	4104.0	4697.0	5151.0	5801.0	6802.0	7891.0	9568.0	10263.0	6821.0	1699.0	298.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-071-S3_S106_L001_R1_001	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	21.0	79.0	342.0	726.0	866.0	734.0	667.0	673.0	735.0	877.0	1175.0	1481.0	1816.0	2210.0	2502.0	3012.0	3843.0	4958.0	7322.0	13455.0	24987.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-071-S3_S106_L001_R2_001	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	53.0	207.0	458.0	650.0	795.0	822.0	832.0	1000.0	1202.0	1320.0	1721.0	2007.0	2246.0	2444.0	3159.0	3613.0	4079.0	4461.0	5032.0	5770.0	6946.0	8308.0	8965.0	5183.0	1093.0	177.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-B1_S113_L001_R1_001	377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	20.0	88.0	341.0	743.0	941.0	871.0	911.0	860.0	860.0	1013.0	1165.0	1475.0	1705.0	2098.0	2483.0	3100.0	3996.0	5299.0	8004.0	14630.0	36615.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-B1_S113_L001_R2_001	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	51.0	265.0	524.0	823.0	1025.0	934.0	1077.0	1261.0	1486.0	1697.0	1817.0	2150.0	2383.0	2693.0	3191.0	3843.0	4304.0	5055.0	5659.0	6429.0	7544.0	9237.0	10979.0	9223.0	3068.0	819.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-B2_S114_L001_R1_001	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	12.0	42.0	252.0	602.0	872.0	938.0	856.0	910.0	955.0	983.0	1143.0	1324.0	1467.0	1710.0	2118.0	2548.0	3258.0	4088.0	6257.0	11850.0	25948.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-B2_S114_L001_R2_001	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	39.0	178.0	390.0	527.0	576.0	604.0	563.0	634.0	777.0	923.0	1179.0	1334.0	1566.0	1708.0	2044.0	2593.0	3081.0	3521.0	4226.0	4898.0	5958.0	7457.0	9832.0	9806.0	3522.0	212.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-S1_S110_L001_R1_001	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	12.0	26.0	154.0	783.0	1519.0	1540.0	1268.0	1108.0	1018.0	968.0	1003.0	1136.0	1378.0	1728.0	2079.0	2640.0	3211.0	3970.0	5335.0	7954.0	14676.0	31592.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-S1_S110_L001_R2_001	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19.0	109.0	430.0	950.0	1475.0	1718.0	1626.0	1490.0	1505.0	1604.0	1743.0	1770.0	1877.0	2073.0	2137.0	2585.0	3262.0	3816.0	4529.0	5241.0	6146.0	7219.0	9110.0	10754.0	8621.0	2522.0	999.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-S2_S111_L001_R1_001	237.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	24.0	123.0	326.0	742.0	1331.0	1274.0	1244.0	1146.0	1000.0	922.0	1043.0	1143.0	1450.0	1737.0	2157.0	2556.0	3049.0	3909.0	5112.0	7337.0	12616.0	21121.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-S2_S111_L001_R2_001	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	52.0	221.0	490.0	849.0	993.0	1147.0	1425.0	1602.0	1846.0	1921.0	1997.0	1759.0	1492.0	1597.0	1990.0	2509.0	3005.0	3473.0	4322.0	5043.0	6222.0	8089.0	8553.0	6013.0	3097.0	1863.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-S3_S112_L001_R1_001	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	41.0	124.0	412.0	883.0	1060.0	855.0	814.0	847.0	873.0	932.0	1070.0	1312.0	1532.0	1760.0	2101.0	2625.0	3130.0	3991.0	5705.0	8561.0	8340.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-072-S3_S112_L001_R2_001	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	48.0	227.0	541.0	759.0	907.0	833.0	731.0	687.0	823.0	885.0	854.0	1008.0	1053.0	1134.0	1302.0	1691.0	1979.0	2397.0	2841.0	3421.0	4235.0	5457.0	6216.0	5152.0	1549.0	308.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-073-B1_S118_L001_R1_001	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	6.0	24.0	90.0	474.0	1086.0	1293.0	1047.0	913.0	952.0	981.0	1074.0	1276.0	1551.0	1868.0	2258.0	2759.0	3575.0	4426.0	5873.0	8565.0	15781.0	33245.0
	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
230929-COI-COL-073-B1_S118_L001_R2_001	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	23.0	58.0	374.0	876.0	1211.0	1319.0	1383.0	1372.0	1573.0	1784.0	2205.0	2505.0	2931.0	3212.0	3758.0	4261.0	4881.0	5302.0	5830.0	6347.0	7423.0	8277.0	9361.0	8505.0	3776.0	552.0	106.0
