	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-B2_S114_L001_R1_001	35.0	7.0	386.0	450.0	12.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	83.0	70.0	0.0	2.0	8.0	0.0	0.0	0.0	32608.0	34499.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-B2_S114_L001_R2_001	21.0	6.0	349.0	392.0	12.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	30.0	24.0	0.0	1.0	5.0	0.0	0.0	0.0	4074.0	63247.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S1_S110_L001_R1_001	277.0	215.0	3527.0	4653.0	177.0	9.0	6.0	1.0	8.0	1.0	0.0	0.0	1.0	0.0	6.0	2.0	6.0	2.0	155.0	131.0	9.0	2.0	5.0	0.0	4.0	3.0	3513.0	72666.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S1_S110_L001_R2_001	48.0	180.0	2742.0	4077.0	143.0	34.0	6.0	1.0	7.0	0.0	0.0	0.0	1.0	2.0	3.0	2.0	6.0	3.0	29.0	15.0	7.0	2.0	2.0	0.0	1.0	1.0	4253.0	73814.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S2_S111_L001_R1_001	341.0	1874.0	9372.0	7453.0	50.0	22.0	25.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	126.0	68.0	0.0	0.0	4.0	0.0	2.0	0.0	619.0	51640.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S2_S111_L001_R2_001	79.0	1348.0	8130.0	6849.0	170.0	48.0	20.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	24.0	10.0	0.0	0.0	1.0	0.0	1.0	1.0	5078.0	49839.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S3_S112_L001_R1_001	81.0	258.0	846.0	1278.0	76.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	105.0	94.0	6.0	2.0	5.0	4.0	0.0	6.0	1301.0	42989.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-072-S3_S112_L001_R2_001	10.0	199.0	803.0	1210.0	90.0	8.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	31.0	25.0	7.0	0.0	3.0	0.0	0.0	2.0	2876.0	41791.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B1_S118_L001_R1_001	118.0	93.0	132.0	568.0	21.0	5.0	1.0	2.0	2.0	2.0	3.0	24.0	4.0	2.0	7.0	0.0	2.0	7.0	95.0	105.0	7.0	0.0	471.0	4.0	4.0	7.0	2556.0	84997.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B1_S118_L001_R2_001	30.0	67.0	118.0	485.0	21.0	13.0	1.0	2.0	3.0	1.0	2.0	21.0	3.0	2.0	4.0	0.0	2.0	4.0	24.0	16.0	6.0	0.0	347.0	3.0	2.0	1.0	4396.0	83665.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B2_S119_L001_R1_001	136.0	64.0	234.0	530.0	11.0	4.0	8.0	2.0	5.0	0.0	4.0	31.0	6.0	8.0	5.0	14.0	7.0	7.0	66.0	52.0	12.0	1.0	34.0	5.0	5.0	6.0	13598.0	59418.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B2_S119_L001_R2_001	33.0	46.0	185.0	485.0	19.0	21.0	9.0	2.0	5.0	1.0	4.0	22.0	5.0	8.0	4.0	10.0	7.0	4.0	32.0	7.0	9.0	0.0	19.0	2.0	7.0	4.0	4337.0	68986.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B3_S120_L001_R1_001	67.0	58.0	193.0	555.0	13.0	24.0	5.0	2.0	9.0	1.0	1.0	44.0	4.0	10.0	2.0	1.0	4.0	7.0	95.0	83.0	10.0	3.0	43.0	0.0	6.0	3.0	2125.0	53512.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-B3_S120_L001_R2_001	24.0	54.0	182.0	518.0	26.0	35.0	6.0	2.0	8.0	1.0	1.0	32.0	4.0	9.0	4.0	1.0	4.0	7.0	34.0	17.0	8.0	3.0	29.0	0.0	4.0	2.0	2638.0	53227.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S1_S115_L001_R1_001	114.0	38.0	229.0	461.0	37.0	2.0	4.0	0.0	2.0	1.0	2.0	3.0	2.0	1.0	0.0	1.0	1.0	2.0	60.0	51.0	13.0	6.0	561.0	1.0	3.0	7.0	5472.0	43381.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S1_S115_L001_R2_001	26.0	30.0	186.0	390.0	41.0	5.0	1.0	0.0	2.0	0.0	2.0	3.0	2.0	0.0	1.0	1.0	0.0	2.0	12.0	9.0	9.0	5.0	407.0	1.0	1.0	4.0	2911.0	46404.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S2_S116_L001_R1_001	60.0	15.0	108.0	294.0	15.0	6.0	3.0	1.0	12.0	1.0	9.0	11.0	1.0	0.0	1.0	0.0	0.0	1.0	60.0	79.0	8.0	4.0	176.0	2.0	1.0	2.0	29382.0	53719.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-073-S2_S116_L001_R2_001	13.0	13.0	88.0	266.0	17.0	8.0	3.0	1.0	10.0	0.0	7.0	6.0	1.0	3.0	1.0	0.0	0.0	1.0	21.0	16.0	2.0	3.0	126.0	0.0	0.0	0.0	5684.0	77681.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
