Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>100	>500	>1k	>10k+	>5k	>50
230929-COI-COL-076-B1_S136_L001_R2_001										13.695340278210965	18.064999064312897	2.4015969059946354	0.0	0.0	0.0	5.118208471087268
230929-COI-COL-076-B2_S137_L001_R1_001										26.600305707788092	12.290757931625844	0.0	3.4876784848823768	0.0	0.0	10.576743839242441
230929-COI-COL-076-B2_S137_L001_R2_001										9.803154009618611	15.547291503560375	5.921224322409873	10.025910599112702	0.0	6.094583007120755	4.359132088133318
230929-COI-COL-076-B3_S138_L001_R1_001										20.253874977303116	18.873904359452634	1.3287994585761214	0.0	0.0	0.0	8.538980868589162
230929-COI-COL-076-B3_S138_L001_R2_001										10.613888843036595	13.499281953087602	4.2191446162988395	17.875241412323998	0.0	0.0	5.734471203842789
230929-COI-COL-076-S1_S133_L001_R1_001										23.264133296049526	17.40543250826833	0.48790365349198234	1.4608182510678918	0.0	0.0	17.12483969568697
230929-COI-COL-076-S1_S133_L001_R2_001										8.173832550694732	10.524641062974284	10.121590218785254	13.405779633397295	0.0	6.886576864110154	4.901213973714913
230929-COI-COL-076-S2_S134_L001_R1_001										27.586822605124546	0.0	0.0	4.404368657560337	0.0	0.0	1.9045918519179836
230929-COI-COL-076-S2_S134_L001_R2_001										7.451715620629111	9.115257566288724	3.770496681843883	3.062226586911883	0.0	0.0	3.7794244561497483
230929-COI-COL-076-S3_S135_L001_R1_001										18.064548612859372	17.719148079150095	0.0	1.731030663108605	0.0	0.0	14.54005337092795
230929-COI-COL-076-S3_S135_L001_R2_001										8.88374200694829	13.396102915261066	5.9141030159609285	15.40707920044308	0.0	6.0913347766980515	5.873823070338855
230929-COI-COL-077-B1_S146_L001_R1_001										18.308419768151314	32.94234289200732	0.9014643075045758	0.0	0.0	0.0	8.017083587553387
230929-COI-COL-077-B1_S146_L001_R2_001										8.334350213544845	11.815131177547284	4.121415497254423	23.92769981696156	0.0	0.0	2.541183648566199
230929-COI-COL-077-B2_S147_L001_R1_001										14.74808707263825	34.25782657538311	0.0	1.724284109455478	0.0	0.0	8.885309141779182
230929-COI-COL-077-B2_S147_L001_R2_001										8.701964857245809	12.297844379914793	3.903219652811632	19.60194154178766	0.0	6.411750990906971	3.7919413298289495
230929-COI-COL-077-B3_S148_L001_R1_001										20.402661216680436	21.925685959038134	0.0	2.403574379266861	0.0	0.0	7.842327260077401
230929-COI-COL-077-B3_S148_L001_R2_001										8.768535026307779	11.66565204157064	7.043309996956125	18.162151584989346	0.0	0.0	3.6156890029134234
230929-COI-COL-077-S1_S143_L001_R1_001										22.545908806995627	0.28732042473454095	1.4091193004372267	0.0	0.0	0.0	9.611492816989381
230929-COI-COL-077-S1_S143_L001_R2_001										11.652717051842599	15.650218613366645	8.834478450968145	5.331667707682699	0.0	0.0	4.017489069331668
230929-COI-COL-077-S2_S144_L001_R1_001										25.702334520377594	10.031466093870707	0.0	2.256326192225802	0.0	0.0	15.984587266595069
230929-COI-COL-077-S2_S144_L001_R2_001										10.201985943888605	14.652459819493904	8.338514875737193	12.247282045484521	0.0	0.0	5.873984888738153
230929-COI-COL-077-S3_S145_L001_R1_001										26.49301329178636	10.455231510784362	0.0	4.821072106723793	0.0	0.0	11.132966551438725
230929-COI-COL-077-S3_S145_L001_R2_001										10.185500754661863	14.774818637713619	9.71322849213691	10.693802035152636	0.0	0.0	4.696431179706899
230929-COI-COL-078-B1_S152_L001_R1_001										16.043337480038467	37.38828158774693	7.711106993815234	0.0	0.0	0.0	8.357816539177541
230929-COI-COL-078-B1_S152_L001_R2_001										7.612291892750324	9.011584306044485	7.081160724526438	19.17454099503278	0.0	13.269456428716374	3.2741325004631956
230929-COI-COL-078-B2_S153_L001_R1_001										18.463889809597468	24.596729643133354	0.0	1.1490443044967407	0.0	0.0	14.909954701137995
230929-COI-COL-078-B2_S153_L001_R2_001										8.62980149523073	13.771038190991788	4.575921629285898	21.21404633005561	0.0	4.900931757080249	4.06953191175929
230929-COI-COL-078-B3_S154_L001_R1_001										23.021415905060703	17.42190697039967	0.0	1.4486427499658983	0.0	0.0	13.834401855135726
230929-COI-COL-078-B3_S154_L001_R2_001										9.0042286181967	11.006683944891556	6.637566498431319	15.628154412767698	0.0	0.0	4.127676988132587
230929-COI-COL-078-S1_S149_L001_R1_001										21.083322306029732	6.694896563892197	0.0	0.0	0.0	4.530898504697632	18.553217767191565
230929-COI-COL-078-S1_S149_L001_R2_001										10.0198491464867	15.756693573287459	6.469939570376251	8.895064178906974	0.0	0.0	5.220766618146531
230929-COI-COL-078-S2_S150_L001_R1_001										24.95773321634173	0.21614912149292698	0.0	4.592633809146746	0.0	0.0	3.5140282919939225
230929-COI-COL-078-S2_S150_L001_R2_001										10.944421854602265	12.960386928328377	9.084683373638368	0.0	0.0	0.0	5.649838423181458
230929-COI-COL-078-S3_S151_L001_R1_001										15.745186593772283	4.354647016876634	0.0	0.0	0.0	0.0	28.264796767292605
230929-COI-COL-078-S3_S151_L001_R2_001										7.3235084383170905	11.801758973140004	7.6990729736154035	22.037081055383883	0.0	0.0	1.7542191585452818
230929-COI-COL-079-B1_S158_L001_R1_001										16.007967546821483	6.578084387980663	1.6663832681516748	0.0	0.0	0.0	26.747151844924332
230929-COI-COL-079-B1_S158_L001_R2_001										7.48172079578303	10.629873442320305	8.907620181213108	19.13668715233075	0.0	0.0	3.517380426069425
230929-COI-COL-079-B2_S159_L001_R1_001										15.26096512810419	16.62566020404816	0.0	0.0	0.0	0.0	19.37801397500246
230929-COI-COL-079-B2_S159_L001_R2_001										8.345635272118885	10.67808286585966	9.623396647311615	21.664534330610504	0.0	0.0	3.6561362070662335
230929-COI-COL-079-B3_S160_L001_R1_001										13.84555088258792	38.313812387886465	0.0	0.0	0.0	0.0	10.692051432792175
230929-COI-COL-079-B3_S160_L001_R2_001										7.457151901596346	9.908198797087685	5.6120833898611675	31.161157087083012	0.0	0.0	2.2580985543948504
230929-COI-COL-079-S1_S155_L001_R1_001										27.364916240465497	16.12521109963903	0.0	2.288280068192187	0.0	0.0	14.13547194275698
230929-COI-COL-079-S1_S155_L001_R2_001										13.015743430899384	12.864472030798538	7.86931431635732	4.049911558255497	0.0	0.0	6.539086448803835
230929-COI-COL-079-S2_S156_L001_R1_001										24.32661284435815	15.313079404937444	0.0	3.427157393754471	0.0	0.0	11.749419682613837
230929-COI-COL-079-S2_S156_L001_R2_001										9.41939063024658	13.406426558827395	6.9805976904098	11.527512153816955	0.0	4.075360964713783	4.306757960202637
230929-COI-COL-079-S3_S157_L001_R1_001										20.546317323110234	15.53325356709724	0.83754547896369	0.0	0.0	5.3581748182876305	9.018468325478802
230929-COI-COL-079-S3_S157_L001_R2_001										8.982654913355962	11.62959164570768	6.0557224134984	6.60676059547937	0.0	6.811059832816481	5.390732465672031
230929-COI-COL-080-B1_S164_L001_R1_001										17.31994483513227	29.360475056133673	6.214026009551272	0.0	0.0	0.0	12.030272291051666
230929-COI-COL-080-B1_S164_L001_R2_001										6.660815847362002	7.89860606129683	8.452534278582583	8.751154017119344	14.77255889761446	8.389846928889751	3.7806170714749765
230929-COI-COL-080-B2_S165_L001_R1_001										19.992389649923897	27.945205479452056	1.0437051532941943	0.0	0.0	0.0	8.794303109371603
230929-COI-COL-080-B2_S165_L001_R2_001										7.548380082626658	12.86475320721896	8.26918895412046	20.229397695151118	0.0	0.0	3.0278321374211785
230929-COI-COL-080-B3_S166_L001_R1_001										17.224044187451454	35.505307672391474	0.7972296539224993	0.0	0.0	0.0	10.510701648399067
230929-COI-COL-080-B3_S166_L001_R2_001										7.216061102960214	10.066238025373263	6.875161819280227	24.699016138776216	0.0	6.493268317942522	3.9451540519547765
230929-COI-COL-080-S1_S161_L001_R1_001										27.076210121789256	12.688500193092015	0.8034511665583468	0.0	0.0	0.0	14.596814452701876
230929-COI-COL-080-S1_S161_L001_R2_001										9.516139666751439	14.052389160473593	8.33309785526576	15.560390705209718	0.0	0.0	5.65147362174687
230929-COI-COL-080-S2_S162_L001_R1_001										22.213609055984314	23.555363025957295	1.0259800959861378	0.0	0.0	0.0	5.801347453859395
230929-COI-COL-080-S2_S162_L001_R2_001										10.284880473318818	11.078305080881432	2.78496597166015	12.121384845134004	0.0	5.713569156758359	5.494693402947983
230929-COI-COL-080-S3_S163_L001_R1_001										16.516066682773616	32.04058951437545	11.388258033341387	0.0	0.0	0.0	2.5977289200289926
230929-COI-COL-080-S3_S163_L001_R2_001										8.79729403237497	8.805991785455424	7.155351534187002	12.577917371345738	10.306837400338246	6.380285093017638	3.4897318192800197
230929-COI-COL-081-B1_S178_L001_R1_001										20.768880800727935	17.6953796380548	0.0	2.3897988069962595	0.0	0.0	11.486452330401375
230929-COI-COL-081-B1_S178_L001_R2_001										8.82746941664139	12.266201597411788	5.546709129511678	15.348549186128805	0.0	0.0	3.506976038823172
230929-COI-COL-081-B2_S179_L001_R1_001										15.613392623594036	17.237771383730056	0.0	3.2339349550963465	0.0	0.0	12.952306216758217
230929-COI-COL-081-B2_S179_L001_R2_001										9.261487488011161	9.99476850640858	5.274217455750283	12.346324875752027	0.0	4.47903042985439	4.4816461766501
230929-COI-COL-081-S1_S175_L001_R1_001										22.517910353135104	0.0	1.084131110124897	0.0	0.0	0.0	3.193748811259748
230929-COI-COL-081-S1_S175_L001_R2_001										13.616623343688584	11.064794268686997	4.735941165282444	4.707411399226526	0.0	0.0	7.341659798389653
230929-COI-COL-081-S2_S176_L001_R1_001										27.13311412709409	0.0	0.0	2.530953937418895	0.0	0.0	8.257310397986165
230929-COI-COL-081-S2_S176_L001_R2_001										12.298640856270307	15.982866788303362	6.9264618356733765	3.3924929993853117	0.0	0.0	7.2035593369173885
230929-COI-COL-081-S3_S177_L001_R1_001										23.0087303902866	15.358978387234329	0.0	1.786475750162713	0.0	0.0	8.825773728033754
230929-COI-COL-081-S3_S177_L001_R2_001										11.613214534192158	13.86201943577889	5.04522297282133	9.199452386830352	0.0	5.673631528154948	6.5960455147339365
230929-COI-COL-082-B1_S183_L001_R1_001										20.93865788390284	9.51832029641828	0.0	0.0	0.0	0.0	17.43104158089749
230929-COI-COL-082-B1_S183_L001_R2_001										6.663922052971044	12.23823246878002	7.2320570879648685	21.66323589954714	0.0	0.0	3.620145464525868
230929-COI-COL-082-B2_S184_L001_R1_001										21.302364991153087	14.092755501283424	0.0	1.2697186433074987	0.0	0.0	17.494455105041492
230929-COI-COL-082-B2_S184_L001_R2_001										7.745408328556833	11.886011912178832	5.895033269369751	24.800009968350487	0.0	0.0	2.378697635008847
230929-COI-COL-082-B3_S185_L001_R1_001										21.894037497888633	21.8467428635775	0.9031023027982659	0.0	0.0	0.0	13.522887224818422
230929-COI-COL-082-B3_S185_L001_R2_001										7.734924835313326	11.361972861888407	8.429705534598277	24.370249422892858	0.0	0.0	3.807218062046056
230929-COI-COL-082-S1_S180_L001_R1_001										21.717940338919753	18.069184445170627	1.9448205032444796	1.4705195835862006	0.0	0.0	5.282666542178236
230929-COI-COL-082-S1_S180_L001_R2_001										10.202138088791372	13.410204939078474	4.19868353484898	4.654311189953784	0.0	12.06012791186219	6.372251528873535
230929-COI-COL-082-S2_S181_L001_R1_001										26.31597466572836	11.701266713581985	0.0	1.5323715693173823	0.0	0.0	7.308233638282899
230929-COI-COL-082-S2_S181_L001_R2_001										11.389866291344124	15.241907107670654	3.98926812104152	11.486629134412386	0.0	0.0	5.599049964813512
230929-COI-COL-082-S3_S182_L001_R1_001										14.582222607962505	32.84564740307242	0.9931434664550605	0.0	0.0	0.0	4.907442996540736
230929-COI-COL-082-S3_S182_L001_R2_001										10.09261899743345	10.442265011840849	2.91371678672833	19.978178121086632	0.0	6.463491748602037	4.0283684425873805
230929-COI-COL-083-B1_S189_L001_R1_001										20.434857496023263	24.130943575922757	0.9888651354117064	0.0	0.0	0.0	7.215878580330094
230929-COI-COL-083-B1_S189_L001_R2_001										9.14193659510228	8.42055137336751	4.19963728102615	14.449994427501798	0.0	6.627220133942593	4.750808012239233
230929-COI-COL-083-B2_S190_L001_R1_001										24.8498804873783	8.175440642064556	0.0	1.7023261237101381	0.0	0.0	10.111933772517927
230929-COI-COL-083-B2_S190_L001_R2_001										11.599525836102528	14.776812608095765	5.8250257486542685	8.70207349540411	0.0	0.0	5.9017858877941665
230929-COI-COL-083-B3_S191_L001_R1_001										15.393587587478978	0.0	0.0	5.777681332392991	0.0	0.0	1.1039982639830739
230929-COI-COL-083-B3_S191_L001_R2_001										10.47306461237997	6.344599359843758	2.682688656214398	3.2116313134053054	0.0	0.0	5.538979005045299
230929-COI-COL-083-S1_S186_L001_R1_001										25.54471997770967	7.125104485929228	0.0	1.3686263583170801	0.0	0.0	11.940930621342991
230929-COI-COL-083-S1_S186_L001_R2_001										10.814154360546112	13.863471719141824	3.9765951518528837	8.843689049874618	0.0	0.0	5.984954026191139
230929-COI-COL-083-S2_S187_L001_R1_001										32.51673002607684	4.52810330202017	0.0	1.9180621445851267	0.0	0.0	11.009613874139935
230929-COI-COL-083-S2_S187_L001_R2_001										11.258600647208521	16.29410286216972	9.146533035910648	6.271796160733922	0.0	0.0	5.935624744729649
230929-COI-COL-083-S3_S188_L001_R1_001										23.211226303081496	19.399797595046657	0.40162242710632634	1.2056641512140314	0.0	0.0	8.99267676566447
230929-COI-COL-083-S3_S188_L001_R2_001										10.34416810767306	12.154656509231737	3.911037444916368	10.013467101226382	0.0	6.543895578168953	5.2242790319624515
230929-COI-COL-084-B1_S195_L001_R1_001										21.268830202715268	31.629316223420744	0.0	1.3770070051453722	0.0	0.0	6.5603496373442445
230929-COI-COL-084-B1_S195_L001_R2_001										8.830822639637963	11.987787489926228	3.996187465129254	19.806583596801193	0.0	0.0	3.8652284421300602
230929-COI-COL-084-B2_S196_L001_R1_001										19.330497356180175	21.253130839263708	0.0	1.8137001550510874	0.0	0.0	12.723730767701666
230929-COI-COL-084-B2_S196_L001_R2_001										8.576312964656303	11.411760028624816	4.63085914205065	17.557349023973284	0.0	0.0	3.661591062696299
230929-COI-COL-084-B3_S197_L001_R1_001										20.052928049377392	16.474892360275756	0.0	0.0	0.0	4.73117030719838	9.431645664130876
230929-COI-COL-084-B3_S197_L001_R2_001										8.571357463435678	10.256261355057616	4.724533561194947	12.0415460299815	0.0	5.315203955500618	3.6145377921205237
230929-COI-COL-084-S1_S192_L001_R1_001										18.872446014217374	18.881387758751732	0.0	2.7665757589305673	0.0	0.0	13.110385836276658
230929-COI-COL-084-S1_S192_L001_R2_001										8.94889792998614	11.6305271158403	5.539410739035186	17.069790316090668	0.0	0.0	3.543613358966334
230929-COI-COL-084-S2_S193_L001_R1_001										18.16145247038106	32.16566543695596	2.3862331843562967	1.7620899880744068	0.0	0.0	4.646523188034283
230929-COI-COL-084-S2_S193_L001_R2_001										8.941965828160004	11.081885358269341	3.625603245544621	17.61086900794668	0.0	6.6058870077906455	3.365915094234477
230929-COI-COL-084-S3_S194_L001_R1_001										17.318114532486756	23.457016674618615	1.2955554739971373	1.8705423227021936	0.0	0.0	20.172251379356748
230929-COI-COL-084-S3_S194_L001_R2_001										7.328023880304865	9.278085660806694	9.799243953462767	13.278526076265276	0.0	7.633867948765001	3.6701288215216357
230929-COI-COL-085-B1_S201_L001_R1_001										20.78145713465717	27.803364720996022	0.0	1.5566276256987057	0.0	0.0	10.049063153435105
230929-COI-COL-085-B1_S201_L001_R2_001										8.92703393420891	11.013926282270297	9.718331032786214	17.438602725123342	0.0	7.660138579491875	3.30732120648891
230929-COI-COL-085-B2_S202_L001_R1_001										31.0550831792976	11.871349353049908	0.0	1.8587800369685765	0.0	0.0	7.5637707948244
230929-COI-COL-085-B2_S202_L001_R2_001										9.302772643253235	10.071719038817005	8.83992606284658	14.056931608133086	0.0	0.0	4.499815157116451
230929-COI-COL-085-B3_S203_L001_R1_001										17.055390399580308	25.985835446358312	0.0	2.1126606627612134	0.0	0.0	12.531695374661187
230929-COI-COL-085-B3_S203_L001_R2_001										9.315161318527586	10.047433767596397	3.1280055958730437	25.63718632508525	0.0	0.0	3.9367841217102386
230929-COI-COL-085-S1_S198_L001_R1_001										18.714670394047154	27.556578758042306	4.083331620382742	1.756459536681124	0.0	0.0	4.392690497235298
230929-COI-COL-085-S1_S198_L001_R2_001										8.019692080001645	8.184135336800345	8.693909432876318	9.153322781557689	0.0	14.204814076342782	3.555057657916915
230929-COI-COL-085-S2_S199_L001_R1_001										8.725002109526622	0.0	6.26951312125559	0.0	0.0	0.0	0.4556577504008101
230929-COI-COL-085-S2_S199_L001_R2_001										6.76736140410092	4.067167327651675	4.961606615475487	0.0	0.0	0.0	2.303603071470762
230929-COI-COL-085-S3_S200_L001_R1_001										12.600865708331108	26.139047720835784	0.0	5.306471436968952	0.0	0.0	11.851653930422701
230929-COI-COL-085-S3_S200_L001_R2_001										8.82167477154919	12.415967509218191	5.082028536311655	14.500080158178807	0.0	6.44044247314701	3.7439213381071985
230929-COI-COL-FN-3-17_S139_L001_R1_001										11.895026142914599	28.567278902444475	1.2099477141708004	0.0	0.0	9.46842740313715	5.411806765875675
230929-COI-COL-FN-3-17_S139_L001_R2_001										7.826116101354069	8.725477052330518	2.339455691111409	13.796532153550519	0.0	5.841935916342673	2.569602717075569
230929-COI-COL-FN-3-19_S140_L001_R1_001										15.499025421000567	15.823299754745584	7.005262141264201	0.0	20.381871074612363	0.0	2.458397476045258
230929-COI-COL-FN-3-19_S140_L001_R2_001										9.421067964285937	6.045582523165362	2.077546723950329	3.642193443440077	0.0	7.274128886790941	3.607195560782767
230929-COI-COL-FN-3-20_S141_L001_R1_001										18.171169005222747	21.750361909243903	0.8486324178606688	0.0	14.333140656091583	0.0	3.4845593914809374
230929-COI-COL-FN-3-20_S141_L001_R2_001										9.453549218122708	9.311738012929228	1.3426918604086862	9.089195335116235	0.0	6.1541814029095905	2.9945002804525997
230929-COI-COL-FN-3-22_S167_L001_R1_001										21.787536214668012	13.348116177314933	0.0	0.0	10.428504490948807	0.0	2.6213150131659706
230929-COI-COL-FN-3-22_S167_L001_R2_001										11.193384677318233	7.500973423878253	2.6351739293987206	4.691573118982095	0.0	0.0	4.953572630620286
230929-COI-COL-FN-3-23_S168_L001_R1_001										22.13723461989823	17.836882557853674	0.0	0.0	14.599210527536446	0.0	5.075445179904168
230929-COI-COL-FN-3-23_S168_L001_R2_001										10.905607748427238	7.723955824440029	4.064112984782253	6.631457815610579	0.0	5.8478976478220295	3.8454094636493394
230929-COI-COL-FN-3-24_S169_L001_R1_001										15.650891358823662	22.97440682685289	0.0	0.0	8.280719709226636	0.0	10.699315960176692
230929-COI-COL-FN-3-24_S169_L001_R2_001										8.072271930286634	9.26501463649567	2.5231963999488287	23.923333358417302	0.0	0.0	2.6699376161701296
230929-COI-COL-FN-3-25_S204_L001_R1_001										20.474889155349825	15.641644125930675	0.0	0.0	16.515852876383814	0.0	5.3330916594629265
230929-COI-COL-FN-3-25_S204_L001_R2_001										9.872842363570452	6.751763754496529	2.2496584032793288	10.12311424667466	0.0	0.0	1.9408270823457239
